timestamp,symbol,lastPrice,riseFallRate,fairPrice,indexPrice,volume24,amount24,maxBidPrice,minAskPrice,lower24Price,high24Price,bid1,ask1,holdVol,riseFallValue,fundingRate,zone,riseFallRates,riseFallRatesOfTimezone
1728739353104,BTC_USDT,62999.9,0.0125,63000.0,63033.2,582298173,3638511414.74427,69336.5,56729.8,61170,63399.8,62999.9,63000.0,68206100,781.8,1.5e-05,UTC+8,"[0.0125, 0.0187, 0.1115, 0.0712, -0.0181, 1.3626]","[0.0268, 0.0078, 0.0125]"
1728739355092,BTC_USDT,63000.5,0.0125,63000.0,63032.8,582302559,3638539046.76186,69336.0,56729.5,61170,63399.8,63000.4,63000.5,68214242,782.4,1.5e-05,UTC+8,"[0.0125, 0.0187, 0.1115, 0.0712, -0.0181, 1.3626]","[0.0269, 0.0078, 0.0125]"
1728739357092,BTC_USDT,63000.5,0.0125,63000.5,63032.8,582309389,3638582072.95331,69336.0,56729.5,61170,63399.8,63000.4,63000.5,68226635,782.4,1.5e-05,UTC+8,"[0.0125, 0.0187, 0.1115, 0.0712, -0.0181, 1.3626]","[0.0269, 0.0078, 0.0125]"
1728739359101,BTC_USDT,63000.1,0.0125,63000.0,63032.8,582309416,3638582243.05383,69336.0,56729.5,61170,63399.8,63000.0,63000.1,68226664,782.0,1.5e-05,UTC+8,"[0.0125, 0.0187, 0.1115, 0.0712, -0.0181, 1.3626]","[0.0268, 0.0078, 0.0125]"
1728739362096,BTC_USDT,63000.0,0.0125,63000.0,63032.8,582309952,3638585621.43221,69336.0,56729.5,61170,63399.8,63000.0,63000.1,68227745,781.9,1.5e-05,UTC+8,"[0.0125, 0.0187, 0.1115, 0.0712, -0.0181, 1.3626]","[0.0268, 0.0078, 0.0125]"
1728739364102,BTC_USDT,62998.0,0.0125,63000.1,63032.8,582314036,3638611349.04835,69336.0,56729.5,61170,63399.8,62998.0,62998.1,68236271,779.9,1.5e-05,UTC+8,"[0.0125, 0.0186, 0.1115, 0.0712, -0.0181, 1.3625]","[0.0268, 0.0078, 0.0125]"
1728739366096,BTC_USDT,62998.1,0.0125,62998.7,63032.8,582314217,3638612487.73875,69336.0,56729.5,61170,63399.8,62998.0,62998.1,68234933,780.0,1.5e-05,UTC+8,"[0.0125, 0.0186, 0.1115, 0.0712, -0.0181, 1.3625]","[0.0268, 0.0078, 0.0125]"
1728739368092,BTC_USDT,62998.0,0.0125,62998.7,63032.8,582314504,3638614297.3563,69336.0,56729.5,61170,63399.8,62998.0,62998.1,68237201,779.9,1.5e-05,UTC+8,"[0.0125, 0.0186, 0.1115, 0.0712, -0.0181, 1.3625]","[0.0268, 0.0078, 0.0125]"
1728739371104,BTC_USDT,62998.1,0.0125,62998.7,63032.8,582321433,3638657950.31446,69336.0,56729.5,61170,63399.8,62998.0,62998.1,68237274,780.0,1.5e-05,UTC+8,"[0.0125, 0.0186, 0.1115, 0.0712, -0.0181, 1.3625]","[0.0268, 0.0078, 0.0125]"
1728739373129,BTC_USDT,62998.0,0.0125,62998.6,63032.7,582321464,3638658144.03339,69335.9,56729.4,61170,63399.8,62998.0,62998.1,68237279,779.9,1.5e-05,UTC+8,"[0.0125, 0.0186, 0.1115, 0.0712, -0.0181, 1.3625]","[0.0268, 0.0078, 0.0125]"
