timestamp,symbol,lastPrice,riseFallRate,fairPrice,indexPrice,volume24,amount24,maxBidPrice,minAskPrice,lower24Price,high24Price,bid1,ask1,holdVol,riseFallValue,fundingRate,zone,riseFallRates,riseFallRatesOfTimezone
1736084560116,BTC_USDT,97856.9,0.0023,97859.6,97904.9,395804610,3881441525.09091,107695.3,88114.4,97483.9,98760.2,97856.8,97856.9,198077236,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084563119,BTC_USDT,97856.8,0.0023,97859.5,97904.9,395805012,3881445458.93738,107695.3,88114.4,97483.9,98760.2,97856.8,97856.9,198077236,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084565118,BTC_USDT,97856.8,0.0023,97859.6,97905.0,395805050,3881445830.79333,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198077236,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084567120,BTC_USDT,97856.9,0.0023,97859.5,97905.0,395809291,3881487331.87445,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198077236,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084570119,BTC_USDT,97856.8,0.0023,97859.4,97905.0,395810418,3881498360.3396,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198078700,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084572119,BTC_USDT,97856.9,0.0023,97859.3,97905.0,395810472,3881498888.76655,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198078700,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084574118,BTC_USDT,97856.9,0.0023,97859.3,97905.0,395811002,3881504075.17798,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198079500,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084576121,BTC_USDT,97856.9,0.0023,97859.3,97905.0,395811090,3881504936.31847,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198079500,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084579121,BTC_USDT,97856.9,0.0023,97859.5,97905.2,395811146,3881505484.31684,107695.7,88114.6,97483.9,98760.2,97856.8,97856.9,198079500,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084581121,BTC_USDT,97856.9,0.0023,97859.4,97905.2,395811173,3881505748.53036,107695.7,88114.6,97483.9,98760.2,97856.8,97856.9,198079500,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084583120,BTC_USDT,97856.9,0.0023,97859.2,97905.0,395811201,3881506022.52957,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198079500,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084586117,BTC_USDT,97856.8,0.0023,97859.2,97905.0,395811340,3881507382.74003,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198079848,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084588120,BTC_USDT,97856.9,0.0023,97859.2,97905.0,395811660,3881510514.15989,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198080268,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084590120,BTC_USDT,97856.9,0.0023,97859.2,97905.0,395839716,3881785061.39841,107695.5,88114.5,97483.9,98760.2,97856.8,97856.9,198160296,233.4,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084593121,BTC_USDT,97856.8,0.0023,97859.1,97904.9,395840571,3881793428.15643,107695.3,88114.4,97483.9,98760.2,97856.8,97856.9,198163132,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084595120,BTC_USDT,97856.8,0.0023,97859.1,97904.9,395840987,3881797499.0008,107695.3,88114.4,97483.9,98760.2,97856.8,97856.9,198163908,233.3,0.0001,UTC+8,"[0.0023, 0.0365, -0.0344, 0.5609, 0.7556, 1.2498]","[0.0002, -0.0032, 0.0023]"
1736084597113,BTC_USDT,97839.5,0.0022,97852.4,97898.2,395849179,3881877656.41003,107688.0,88108.3,97483.9,98760.2,97839.4,97839.5,198172744,216.0,0.0001,UTC+8,"[0.0022, 0.0363, -0.0346, 0.5606, 0.7553, 1.2494]","[0.0, -0.0033, 0.0022]"
1736084600117,BTC_USDT,97844.1,0.0022,97850.0,97895.9,395852268,3881907879.06557,107685.4,88106.3,97483.9,98760.2,97844.1,97844.2,198172744,220.6,0.0001,UTC+8,"[0.0022, 0.0363, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084602117,BTC_USDT,97844.1,0.0022,97850.0,97896.0,395878283,3882162420.52629,107685.6,88106.4,97483.9,98760.2,97844.1,97844.2,198266568,220.6,0.0001,UTC+8,"[0.0022, 0.0363, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084604120,BTC_USDT,97844.1,0.0022,97850.1,97896.1,395887845,3882255979.1389,107685.7,88106.4,97483.9,98760.2,97844.1,97844.2,198159492,220.6,0.0001,UTC+8,"[0.0022, 0.0363, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084606122,BTC_USDT,97844.2,0.0022,97850.2,97896.2,395887879,3882256311.80914,107685.8,88106.5,97483.9,98760.2,97844.1,97844.2,198159492,220.7,0.0001,UTC+8,"[0.0022, 0.0363, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084609121,BTC_USDT,97844.3,0.0022,97850.1,97896.2,395889813,3882275234.87316,107685.8,88106.5,97483.9,98760.2,97844.2,97844.3,198159900,220.8,0.0001,UTC+8,"[0.0022, 0.0364, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084611158,BTC_USDT,97844.3,0.0022,97850.1,97896.2,395891144,3882288257.94875,107685.8,88106.5,97483.9,98760.2,97844.2,97844.3,198160004,220.8,0.0001,UTC+8,"[0.0022, 0.0364, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084613124,BTC_USDT,97844.1,0.0022,97849.5,97895.6,395911854,3882490893.43045,107685.1,88106.0,97483.9,98760.2,97844.1,97844.2,198160208,220.6,0.0001,UTC+8,"[0.0022, 0.0363, -0.0345, 0.5607, 0.7554, 1.2495]","[0.0, -0.0033, 0.0022]"
1736084616118,BTC_USDT,97833.5,0.0021,97837.6,97883.8,395915507,3882526634.29618,107672.1,88095.4,97483.9,98760.2,97828.7,97828.8,198171132,210.0,0.0001,UTC+8,"[0.0021, 0.0362, -0.0346, 0.5605, 0.7552, 1.2492]","[0.0, -0.0034, 0.0021]"
1736084618111,BTC_USDT,97828.2,0.002,97837.4,97883.6,395917530,3882546425.00441,107671.9,88095.2,97483.9,98760.2,97828.2,97828.3,198171244,204.7,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
1736084620107,BTC_USDT,97825.5,0.002,97831.5,97877.8,395918268,3882553644.55445,107665.5,88090.0,97483.9,98760.2,97825.5,97825.6,198172172,202.0,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
1736084623121,BTC_USDT,97825.1,0.002,97830.6,97876.9,395920685,3882577288.87684,107664.5,88089.2,97483.9,98760.2,97825.0,97825.1,198172664,201.6,0.0001,UTC+8,"[0.002, 0.0361, -0.0347, 0.5604, 0.7551, 1.2491]","[-0.0001, -0.0035, 0.002]"
1736084625115,BTC_USDT,97825.0,0.002,97830.5,97876.9,395920838,3882578785.60026,107664.5,88089.2,97483.9,98760.2,97825.0,97825.1,198173100,201.5,0.0001,UTC+8,"[0.002, 0.0361, -0.0347, 0.5604, 0.7551, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084627120,BTC_USDT,97825.1,0.002,97830.5,97876.9,395920987,3882580243.19296,107664.5,88089.2,97483.9,98760.2,97825.0,97825.1,198173100,201.6,0.0001,UTC+8,"[0.002, 0.0361, -0.0347, 0.5604, 0.7551, 1.2491]","[-0.0001, -0.0035, 0.002]"
1736084629112,BTC_USDT,97825.0,0.002,97830.5,97876.9,395921191,3882582238.824,107664.5,88089.2,97483.9,98760.2,97825.0,97825.1,198175432,201.5,0.0001,UTC+8,"[0.002, 0.0361, -0.0347, 0.5604, 0.7551, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084632118,BTC_USDT,97822.6,0.002,97830.4,97876.9,395927668,3882645599.50274,107664.5,88089.2,97483.9,98760.2,97822.5,97822.6,198176556,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084634116,BTC_USDT,97822.6,0.002,97830.4,97876.9,395935591,3882723104.31257,107664.5,88089.2,97483.9,98760.2,97822.5,97822.6,198185188,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084636118,BTC_USDT,97822.6,0.002,97830.3,97876.9,395938555,3882752098.9183,107664.5,88089.2,97483.9,98760.2,97822.5,97822.6,198188988,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084639119,BTC_USDT,97822.6,0.002,97830.3,97876.9,395943594,3882801391.69651,107664.5,88089.2,97483.9,98760.2,97822.5,97822.6,198200496,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084641165,BTC_USDT,97822.6,0.002,97830.6,97877.2,395945087,3882815996.59806,107664.9,88089.4,97483.9,98760.2,97822.5,97822.6,198200540,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084643115,BTC_USDT,97822.6,0.002,97830.5,97877.2,395950262,3882866619.76015,107664.9,88089.4,97483.9,98760.2,97822.5,97822.6,198202840,199.1,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084646114,BTC_USDT,97822.5,0.002,97830.4,97877.2,395961178,3882973402.83443,107664.9,88089.4,97483.9,98760.2,97822.5,97822.6,198222636,199.0,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084648116,BTC_USDT,97822.5,0.002,97830.5,97877.2,395962191,3882983312.25939,107664.9,88089.4,97483.9,98760.2,97824.8,97824.9,198125380,199.0,0.0001,UTC+8,"[0.002, 0.0361, -0.0348, 0.5604, 0.755, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084650115,BTC_USDT,97825.0,0.002,97830.7,97877.4,395964531,3883006203.27703,107665.1,88089.6,97483.9,98760.2,97827.1,97827.2,198135160,201.5,0.0001,UTC+8,"[0.002, 0.0361, -0.0347, 0.5604, 0.7551, 1.249]","[-0.0001, -0.0035, 0.002]"
1736084653120,BTC_USDT,97827.4,0.002,97831.0,97877.7,395970492,3883064518.06733,107665.4,88089.9,97483.9,98760.2,97827.3,97827.4,198136064,203.9,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
1736084655106,BTC_USDT,97835.0,0.0021,97835.0,97878.0,395970578,3883065359.38519,107665.8,88090.2,97483.9,98760.2,97835.0,97835.1,198136076,211.5,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084657107,BTC_USDT,97835.1,0.0021,97835.2,97878.0,395973866,3883097527.57648,107665.8,88090.2,97483.9,98760.2,97835.1,97835.2,198140624,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084660108,BTC_USDT,97835.1,0.0021,97835.2,97878.1,395975102,3883109620.00156,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198140832,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084662112,BTC_USDT,97835.2,0.0021,97835.1,97878.1,395978020,3883138168.28594,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198147812,211.7,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084664117,BTC_USDT,97835.1,0.0021,97835.1,97878.1,395981143,3883168722.21006,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198156372,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084666120,BTC_USDT,97835.1,0.0021,97835.1,97878.1,395981553,3883172733.45241,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198156924,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084669121,BTC_USDT,97835.1,0.0021,97835.2,97878.1,395982748,3883184424.75689,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198156924,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084671113,BTC_USDT,97835.2,0.0021,97835.1,97878.1,395984263,3883199246.78816,107665.9,88090.2,97483.9,98760.2,97835.1,97835.2,198161508,211.7,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084673116,BTC_USDT,97835.1,0.0021,97835.0,97877.7,395986741,3883223490.32576,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198169512,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084676120,BTC_USDT,97835.1,0.0021,97835.1,97877.7,395987616,3883232050.88858,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198169512,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084678115,BTC_USDT,97835.0,0.0021,97835.1,97877.7,395988287,3883238615.62141,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198169272,211.5,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084680113,BTC_USDT,97835.1,0.0021,97835.1,97877.7,395990404,3883259327.31179,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198177376,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084683112,BTC_USDT,97835.1,0.0021,97835.1,97877.7,395993319,3883287846.22966,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198183396,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084685120,BTC_USDT,97835.1,0.0021,97835.1,97877.7,395994710,3883301455.07987,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198184228,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084687109,BTC_USDT,97835.1,0.0021,97835.0,97877.7,395996431,3883318292.49246,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198186696,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084689119,BTC_USDT,97835.1,0.0021,97835.0,97877.7,395997443,3883328193.39483,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198183688,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084692114,BTC_USDT,97835.1,0.0021,97835.0,97877.7,396000324,3883356379.66804,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198182984,211.6,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084694121,BTC_USDT,97835.0,0.0021,97835.0,97877.7,396001422,3883367121.9538,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198180932,211.5,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084696118,BTC_USDT,97835.0,0.0021,97835.1,97877.7,396001683,3883369675.44769,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198180064,211.5,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084699123,BTC_USDT,97835.0,0.0021,97835.1,97877.7,396004054,3883392872.14297,107665.4,88089.9,97483.9,98760.2,97835.0,97835.1,198185548,211.5,0.0001,UTC+8,"[0.0021, 0.0363, -0.0346, 0.5606, 0.7553, 1.2493]","[0.0, -0.0034, 0.0021]"
1736084701141,BTC_USDT,97830.0,0.0021,97835.0,97877.7,396019821,3883547128.58733,107665.4,88089.9,97483.9,98760.2,97828.8,97828.9,198185544,206.5,0.0001,UTC+8,"[0.0021, 0.0362, -0.0347, 0.5605, 0.7552, 1.2492]","[0.0, -0.0034, 0.0021]"
1736084703148,BTC_USDT,97826.1,0.002,97835.0,97877.4,396029255,3883639419.41328,107665.1,88089.6,97483.9,98760.2,97826.0,97826.1,198194532,202.6,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
1736084705115,BTC_USDT,97826.1,0.002,97830.8,97877.3,396029902,3883645748.75736,107665.0,88089.5,97483.9,98760.2,97826.0,97826.1,198196248,202.6,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
1736084708118,BTC_USDT,97826.0,0.002,97830.7,97877.3,396039716,3883741755.22037,107665.0,88089.5,97483.9,98760.2,97826.0,97826.1,198197888,202.5,0.0001,UTC+8,"[0.002, 0.0362, -0.0347, 0.5604, 0.7551, 1.2491]","[0.0, -0.0035, 0.002]"
