timestamp,symbol,lastPrice,riseFallRate,fairPrice,indexPrice,volume24,amount24,maxBidPrice,minAskPrice,lower24Price,high24Price,bid1,ask1,holdVol,riseFallValue,fundingRate,zone,riseFallRates,riseFallRatesOfTimezone
1760019998555,BTC_USDT,121649.1,-0.004,121649,121715.4,376271437,4615479573.62448,133886.9,109543.8,121081.5,124149,121649,121649.1,102546143,-491.0,5.1e-05,UTC+8,"[-0.004, 0.0364, 0.0806, 0.0925, 0.4747, 0.9538]","[-0.0072, -0.0128, -0.004]"
1760020000553,BTC_USDT,121661.6,-0.0039,121649.7,121719.1,376285590,4615651743.47211,133891.0,109547.1,121081.5,124149,121661.6,121661.7,102547485,-478.5,5.1e-05,UTC+8,"[-0.0039, 0.0366, 0.0807, 0.0926, 0.4749, 0.954]","[-0.0071, -0.0127, -0.0039]"
1760020002545,BTC_USDT,121662.3,-0.0039,121661.7,121727.3,376305259,4615891039.71456,133900.0,109554.5,121081.5,124149,121667.7,121667.8,102429037,-477.8,5.1e-05,UTC+8,"[-0.0039, 0.0366, 0.0807, 0.0926, 0.4749, 0.9541]","[-0.0071, -0.0127, -0.0039]"
1760020006493,BTC_USDT,121681.5,-0.0037,121681.8,121751.2,376321309,4616086327.33961,133926.3,109576.0,121081.5,124149,121672.8,121675.0,102438224,-458.6,5.1e-05,UTC+8,"[-0.0037, 0.0367, 0.0809, 0.0927, 0.4751, 0.9544]","[-0.007, -0.0126, -0.0037]"
1760020008581,BTC_USDT,121679.3,-0.0037,121676.7,121744.1,376361829,4616579353.06108,133918.5,109569.6,121081.5,124149,121679.3,121679.4,102447300,-460.8,5.1e-05,UTC+8,"[-0.0037, 0.0367, 0.0808, 0.0927, 0.4751, 0.9543]","[-0.007, -0.0126, -0.0037]"
1760020010505,BTC_USDT,121679.3,-0.0037,121679.3,121744.4,376363564,4616600464.42402,133918.8,109569.9,121081.5,124149,121679.3,121679.4,102448382,-460.8,5.1e-05,UTC+8,"[-0.0037, 0.0367, 0.0808, 0.0927, 0.4751, 0.9543]","[-0.007, -0.0126, -0.0037]"
1760020012591,BTC_USDT,121681.2,-0.0037,121679.4,121744.4,376399878,4617042335.40566,133918.8,109569.9,121081.5,124149,121681.1,121681.2,102491778,-458.9,5.1e-05,UTC+8,"[-0.0037, 0.0367, 0.0809, 0.0927, 0.4751, 0.9544]","[-0.007, -0.0126, -0.0037]"
1760020014564,BTC_USDT,121708.8,-0.0035,121697.5,121766.5,376428887,4617395356.117,133943.1,109589.8,121081.5,124149,121708.7,121708.8,102495502,-431.3,5.1e-05,UTC+8,"[-0.0035, 0.037, 0.0811, 0.093, 0.4754, 0.9548]","[-0.0067, -0.0124, -0.0035]"
1760020018497,BTC_USDT,121700.1,-0.0036,121701.2,121769.4,376491399,4618156170.2816,133946.3,109592.4,121081.5,124149,121700,121700.1,102592379,-440.0,5.1e-05,UTC+8,"[-0.0036, 0.0369, 0.081, 0.0929, 0.4753, 0.9547]","[-0.0068, -0.0124, -0.0036]"
1760020020499,BTC_USDT,121708.8,-0.0035,121708.7,121770.2,376500872,4618271458.49784,133947.2,109593.1,121081.5,124149,121708.7,121708.8,102593087,-431.3,5.1e-05,UTC+8,"[-0.0035, 0.037, 0.0811, 0.093, 0.4754, 0.9548]","[-0.0067, -0.0124, -0.0035]"
1760020022512,BTC_USDT,121686.2,-0.0037,121689.8,121759.3,376508340,4618362339.52777,133935.2,109583.3,121081.5,124149,121686.2,121686.3,102600594,-453.9,5.1e-05,UTC+8,"[-0.0037, 0.0368, 0.0809, 0.0928, 0.4752, 0.9544]","[-0.0069, -0.0125, -0.0037]"
1760020024592,BTC_USDT,121686.1,-0.0037,121686.5,121756.1,376514703,4618439768.41283,133931.7,109580.4,121081.5,124149,121686.1,121686.2,102602201,-454.0,5.1e-05,UTC+8,"[-0.0037, 0.0368, 0.0809, 0.0928, 0.4752, 0.9544]","[-0.0069, -0.0125, -0.0037]"
1760020026590,BTC_USDT,121695.4,-0.0036,121694.3,121758.9,376529975,4618625615.3047,133934.7,109583.0,121081.5,124149,121695.4,121695.5,102616325,-444.7,5.1e-05,UTC+8,"[-0.0036, 0.0368, 0.081, 0.0929, 0.4753, 0.9546]","[-0.0068, -0.0125, -0.0036]"
1760020030555,BTC_USDT,121704.0,-0.0035,121708.7,121778.2,376542009,4618772071.27073,133956.0,109600.3,121081.5,124149,121703.9,121704.0,102424379,-436.1,5.1e-05,UTC+8,"[-0.0035, 0.0369, 0.0811, 0.0929, 0.4754, 0.9547]","[-0.0068, -0.0124, -0.0035]"
1760020032611,BTC_USDT,121715.4,-0.0034,121710.1,121779.6,376553529,4618912274.46545,133957.5,109601.6,121081.5,124149,121715.3,121715.4,102439428,-424.7,5.1e-05,UTC+8,"[-0.0034, 0.037, 0.0812, 0.0931, 0.4755, 0.9549]","[-0.0067, -0.0123, -0.0034]"
1760020034536,BTC_USDT,121706.4,-0.0035,121713.8,121780.5,376608210,4619577835.52461,133958.5,109602.4,121081.5,124149,121706.3,121706.4,102442708,-433.7,5.1e-05,UTC+8,"[-0.0035, 0.0369, 0.0811, 0.093, 0.4754, 0.9548]","[-0.0068, -0.0124, -0.0035]"
1760020036507,BTC_USDT,121709.7,-0.0035,121710.3,121779.7,376619348,4619713395.24024,133957.6,109601.7,121081.5,124149,121709.6,121709.7,102452311,-430.4,5.1e-05,UTC+8,"[-0.0035, 0.037, 0.0811, 0.093, 0.4755, 0.9548]","[-0.0067, -0.0123, -0.0035]"
1760020038496,BTC_USDT,121719.0,-0.0034,121723,121792.4,376628345,4619822901.93201,133971.6,109613.1,121081.5,124149,121719,121719.1,102453439,-421.1,5.1e-05,UTC+8,"[-0.0034, 0.037, 0.0812, 0.0931, 0.4756, 0.955]","[-0.0067, -0.0123, -0.0034]"
1760020042539,BTC_USDT,121718.4,-0.0034,121718.4,121783.5,376657083,4620172690.98271,133961.8,109605.1,121081.5,124149,121718.3,121718.4,102463328,-421.7,5.1e-05,UTC+8,"[-0.0034, 0.037, 0.0812, 0.0931, 0.4756, 0.955]","[-0.0067, -0.0123, -0.0034]"
1760020044500,BTC_USDT,121719.3,-0.0034,121718.3,121783.8,376672818,4620364214.8163,133962.1,109605.4,121081.5,124149,121721.6,121721.7,102474735,-420.8,5.1e-05,UTC+8,"[-0.0034, 0.037, 0.0812, 0.0931, 0.4756, 0.955]","[-0.0066, -0.0123, -0.0034]"
1760020046535,BTC_USDT,121725.7,-0.0033,121721.7,121786.0,376701848,4620717584.48317,133964.6,109607.4,121081.5,124149,121721.6,121721.7,102479292,-414.4,5.1e-05,UTC+8,"[-0.0033, 0.0371, 0.0812, 0.0931, 0.4757, 0.9551]","[-0.0066, -0.0122, -0.0033]"
1760020048530,BTC_USDT,121709.8,-0.0035,121718.4,121785.5,376712134,4620842785.47951,133964.0,109606.9,121081.5,124149,121709.7,121709.8,102482238,-430.3,5.1e-05,UTC+8,"[-0.0035, 0.037, 0.0811, 0.093, 0.4755, 0.9548]","[-0.0067, -0.0123, -0.0035]"
