timestamp,symbol,lastPrice,riseFallRate,fairPrice,indexPrice,volume24,amount24,maxBidPrice,minAskPrice,lower24Price,high24Price,bid1,ask1,holdVol,riseFallValue,fundingRate,zone,riseFallRates,riseFallRatesOfTimezone
1735818854120,BTC_USDT,96619,0.0233,96619.4,96643.2,753622936,7165564720.92741,106307.5,86978.8,93160,96865,96619,96619.1,174990940,2209.1,0.0001,UTC+8,"[0.0233, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0233]"
1735818856165,BTC_USDT,96619,0.0233,96619.3,96643.2,753622943,7165564788.56073,106307.5,86978.8,93160,96865,96619,96619.1,174990940,2209.1,0.0001,UTC+8,"[0.0233, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0233]"
1735818858120,BTC_USDT,96619.1,0.0234,96619.2,96643.2,753623169,7165566972.15145,106307.5,86978.8,93160,96865,96619,96619.1,174991188,2209.2,0.0001,UTC+8,"[0.0234, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0234]"
1735818861121,BTC_USDT,96619.1,0.0234,96619.1,96643.2,753624916,7165583851.49312,106307.5,86978.8,93160,96865,96619,96619.1,174995292,2209.2,0.0001,UTC+8,"[0.0234, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0234]"
1735818863118,BTC_USDT,96619,0.0233,96619.0,96643.2,753626465,7165598817.7914,106307.5,86978.8,93160,96865,96619,96619.1,174999576,2209.1,0.0001,UTC+8,"[0.0233, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0233]"
1735818866122,BTC_USDT,96619,0.0233,96619.2,96643.4,753626513,7165599281.56278,106307.7,86979.0,93160,96865,96619,96619.1,174999612,2209.1,0.0001,UTC+8,"[0.0233, -0.019, -0.0051, 0.5942, 0.7059, 1.1368]","[0.0354, 0.0215, 0.0233]"
1735818868124,BTC_USDT,96623.3,0.0234,96620.7,96643.4,753628435,7165617851.78179,106307.7,86979.0,93160,96865,96623.2,96623.3,174999996,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818870119,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753629116,7165624431.82769,106307.8,86979.1,93160,96865,96623.2,96623.3,175000228,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818873130,BTC_USDT,96623.3,0.0234,96623.3,96643.5,753630738,7165640104.11551,106307.8,86979.1,93160,96865,96623.2,96623.3,175004588,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818875125,BTC_USDT,96623.3,0.0234,96623.3,96643.5,753631594,7165648375.06778,106307.8,86979.1,93160,96865,96623.2,96623.3,175004588,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818878119,BTC_USDT,96623.2,0.0234,96623.2,96643.5,753631657,7165648983.79421,106307.8,86979.1,93160,96865,96623.2,96623.3,175004592,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818880121,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753631691,7165649312.31334,106307.8,86979.1,93160,96865,96623.2,96623.3,175004592,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818883124,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753642051,7165749414.01981,106307.8,86979.1,93160,96865,96623.2,96623.3,175034216,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818885123,BTC_USDT,96623.3,0.0234,96623.3,96643.5,753647901,7165805938.60015,106307.8,86979.1,93160,96865,96623.2,96623.3,175054244,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818887165,BTC_USDT,96623.2,0.0234,96623.2,96643.5,753651370,7165839457.21039,106307.8,86979.1,93160,96865,96623.2,96623.3,175058312,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818890121,BTC_USDT,96623.3,0.0234,96623.2,96643.5,753652010,7165845641.09857,106307.8,86979.1,93160,96865,96623.2,96623.3,175059492,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818892118,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753652151,7165847003.48637,106307.8,86979.1,93160,96865,96623.2,96623.3,175059620,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818895124,BTC_USDT,96623.3,0.0234,96623.3,96643.6,753654571,7165870386.30786,106307.9,86979.2,93160,96865,96623.2,96623.3,175059640,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818897120,BTC_USDT,96623.3,0.0234,96623.2,96643.6,753654996,7165874492.79502,106307.9,86979.2,93160,96865,96623.2,96623.3,175005504,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818899124,BTC_USDT,96623.2,0.0234,96623.2,96643.6,753655209,7165876550.86959,106307.9,86979.2,93160,96865,96623.2,96623.3,175005500,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818902117,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753660198,7165924756.21436,106307.8,86979.1,93160,96865,96623.2,96623.3,175017692,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818904116,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753660252,7165925277.97972,106307.8,86979.1,93160,96865,96623.2,96623.3,175017708,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818907115,BTC_USDT,96623.2,0.0234,96623.2,96643.5,753662248,7165944563.98389,106307.8,86979.1,93160,96865,96623.2,96623.3,175018552,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818909116,BTC_USDT,96623.2,0.0234,96623.2,96643.6,753662377,7165945810.4238,106307.9,86979.2,93160,96865,96623.2,96623.3,175018752,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818912120,BTC_USDT,96623.2,0.0234,96623.2,96643.5,753662909,7165950950.78118,106307.8,86979.1,93160,96865,96623.2,96623.3,175019912,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818914118,BTC_USDT,96623.2,0.0234,96623.3,96643.6,753673894,7166057091.40438,106307.9,86979.2,93160,96865,96623.2,96623.3,175022420,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818916113,BTC_USDT,96623.3,0.0234,96623.2,96643.5,753674506,7166063004.74956,106307.8,86979.1,93160,96865,96623.2,96623.3,175025208,2213.4,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818919118,BTC_USDT,96623.2,0.0234,96623.3,96643.5,753676281,7166080155.37859,106307.8,86979.1,93160,96865,96623.2,96623.3,175028800,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818921114,BTC_USDT,96623.2,0.0234,96623.2,96643.6,753676450,7166081788.31097,106307.9,86979.2,93160,96865,96623.2,96623.3,175028800,2213.3,0.0001,UTC+8,"[0.0234, -0.0189, -0.005, 0.5942, 0.706, 1.1369]","[0.0355, 0.0215, 0.0234]"
1735818924119,BTC_USDT,96639.9,0.0236,96636.4,96660.3,753682077,7166136163.66395,106326.3,86994.2,93160,96865,96639.9,96640.0,175046232,2230.0,0.0001,UTC+8,"[0.0236, -0.0188, -0.0048, 0.5945, 0.7063, 1.1373]","[0.0357, 0.0217, 0.0236]"
1735818926123,BTC_USDT,96649.2,0.0237,96640.4,96664.1,753685199,7166166335.23638,106330.5,86997.6,93160,96865,96649.5,96649.6,175047940,2239.3,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5947, 0.7065, 1.1375]","[0.0358, 0.0218, 0.0237]"
1735818928120,BTC_USDT,96658.6,0.0238,96657.2,96681.0,753699288,7166302510.17087,106349.1,87012.9,93160,96865,96658.6,96658.7,175028272,2248.7,0.0001,UTC+8,"[0.0238, -0.0186, -0.0047, 0.5948, 0.7066, 1.1377]","[0.0359, 0.0219, 0.0238]"
1735818931121,BTC_USDT,96658.6,0.0238,96658.7,96680.8,753797514,7167251949.60344,106348.8,87012.7,93160,96865,96658.6,96658.7,175294236,2248.7,0.0001,UTC+8,"[0.0238, -0.0186, -0.0047, 0.5948, 0.7066, 1.1377]","[0.0359, 0.0219, 0.0238]"
1735818933120,BTC_USDT,96658.7,0.0238,96658.6,96680.8,753803606,7167310834.07801,106348.8,87012.7,93160,96865,96658.6,96658.7,175314384,2248.8,0.0001,UTC+8,"[0.0238, -0.0186, -0.0047, 0.5948, 0.7066, 1.1377]","[0.0359, 0.0219, 0.0238]"
1735818936121,BTC_USDT,96648.1,0.0237,96648.0,96671.0,753852056,7167779142.67978,106338.1,87003.9,93160,96865,96648,96648.1,175273720,2238.2,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
1735818938125,BTC_USDT,96648.5,0.0237,96648.5,96671.0,753852814,7167786468.60779,106338.1,87003.9,93160,96865,96648.4,96648.5,175274268,2238.6,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7065, 1.1375]","[0.0358, 0.0218, 0.0237]"
1735818941115,BTC_USDT,96648.4,0.0237,96648.5,96671.0,753854136,7167799245.52955,106338.1,87003.9,93160,96865,96648,96648.1,175276100,2238.5,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7065, 1.1375]","[0.0358, 0.0218, 0.0237]"
1735818943119,BTC_USDT,96648.1,0.0237,96648.1,96671.0,753854302,7167800849.88774,106338.1,87003.9,93160,96865,96648,96648.1,175276632,2238.2,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
1735818945118,BTC_USDT,96648.1,0.0237,96648.1,96671.0,753854890,7167806532.79414,106338.1,87003.9,93160,96865,96648,96648.1,175276804,2238.2,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
1735818948152,BTC_USDT,96648.1,0.0237,96648.0,96671.0,753857023,7167827147.82583,106338.1,87003.9,93160,96865,96648,96648.1,175282164,2238.2,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
1735818950121,BTC_USDT,96648,0.0237,96648.0,96671.0,753859835,7167854325.24848,106338.1,87003.9,93160,96865,96648,96648.1,175289144,2238.1,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
1735818952121,BTC_USDT,96648.1,0.0237,96648.0,96671.0,753862373,7167878854.52416,106338.1,87003.9,93160,96865,96648,96648.1,175294896,2238.2,0.0001,UTC+8,"[0.0237, -0.0187, -0.0048, 0.5946, 0.7064, 1.1375]","[0.0357, 0.0218, 0.0237]"
